,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,y
56,-11.36906528,-4.88383102,-0.58507818,0.87786639,3.74115801,2.47327375,-11.11631012,-1.69994211,-1.75956154,-0.79913092,-1.60582352,-0.14458179,0.57510132,1.24583256,-0.4303441,-0.0140295,2.40533376,-0.11032754,-0.60464334,2.75000381,-4.24188089,0.26272541,1.1124649,2.46425867,0.833094,-0.7548399,0.8495543,-1.18546879,1.07079363,0.25550473,-2.74287653,-1.77116632,-0.46601385,0.77265918,-0.73108339,-0.05614415,-2.05490685,-0.19701463,-0.55475175,0.03261322,1.86115718,0.49767095,1.12309122,0.42594147,-0.67994356,-0.49358702,0.40979975,0.11000657,0.52090788,-1.02036238,0.68955159,-0.18846929,0.52891815,-0.11813438,-1.6537056,-0.49303555,-0.86136127,-2.17978239,-0.55861062,-0.38776958,-1.97154343,-1.31912565,-0.95629805,-0.48175547,1
1069,-0.78019089,-1.67938089,-4.09914875,-2.13184857,8.54802513,-3.8620646,-5.11236668,-3.42411971,2.60112286,2.06148624,3.33244562,4.53254557,0.14237309,6.89052582,1.77289772,0.24701715,0.6303277,-2.3192668,-1.07831931,1.61831832,2.41099906,-5.63134289,2.23570609,-1.95841479,-1.87469685,-4.31727505,0.99477029,1.54846144,0.91739655,1.2752136,0.19868994,-2.10412884,0.2499917,-2.69014311,-1.6723237,1.27849412,3.06666017,-0.23535472,-1.50613463,-0.32014179,-1.12686217,3.86388278,1.12692428,-1.32060909,-1.28572118,1.09573996,0.10356237,-2.41350102,5.01124573,-2.58081532,2.46942258,-1.66137362,0.29618382,-0.70222712,0.37328762,-0.52978408,0.90275037,0.95373267,-1.13576186,0.22521257,0.70173413,-0.40849733,-0.591061,-0.92328978,6
1851,2.11551905,-10.49869919,-2.47123742,2.07011175,10.27073288,-1.50769901,-5.07989597,-0.61017001,-1.96463108,-3.94722748,-2.1517334,-0.24372745,-3.23046064,3.77628994,1.13327193,0.59392881,2.5794847,2.16123772,-1.40445876,0.45777583,0.29006469,-3.83757687,0.32265681,-2.07960272,0.40261543,1.03992116,-0.50656706,1.02093339,-1.40948248,-0.64025933,-2.38332558,-0.25587988,0.17323935,-2.41175818,0.68029541,-1.68370926,-3.02826166,1.24038148,-1.11711204,1.95253634,-1.08160126,-0.2516886,0.15400328,-1.87449241,-0.90900981,-0.27861708,0.1566498,-1.389539,1.18464494,0.60740328,1.49200201,-0.8354311,1.25316131,-1.91951466,0.500274,-1.20431232,-0.22830462,0.48646742,0.51224738,-0.07128382,-0.66627216,0.31448632,1.86833012,-0.04432047,10
1742,-2.62587547,2.53139019,1.26803446,1.04417837,3.5705266,5.46476173,-5.04782772,0.01446044,-1.07270908,-8.72015285,-3.48613596,0.71185756,-3.44544268,1.78030539,0.53013182,-4.12663841,5.28913116,-1.03200674,-2.81467247,0.05182743,-4.45751858,-0.66779691,-1.52250469,2.98865604,1.8053745,-0.98434204,1.15512812,1.50976276,2.03632832,0.92160738,-2.22834921,0.57617164,1.62662494,-0.40523261,-2.75385952,1.87680244,0.33408499,0.11472571,-0.537799,-1.0866673,1.31262946,0.20385329,0.18092206,-1.01012731,0.73202986,-0.07298687,-1.50108719,-0.31725335,-2.00784445,0.65692186,-0.0985619,-1.19113386,-0.61779809,1.28756154,0.77923012,-1.497841,-0.95313334,0.73167354,1.42403483,-1.37620449,0.31007653,-0.72074509,-0.17242962,-0.27510077,9
342,2.02712584,-4.31208229,-6.54515791,11.24007797,11.70761299,4.86964321,-0.56720257,1.56452537,1.43076372,-2.31723166,1.28058541,2.80218744,2.83239102,-0.71722096,2.09749484,5.37029934,-3.97928596,4.58518028,-2.90139627,-2.86645365,2.63912439,2.007828,-2.0087924,-2.48636174,2.14100933,-0.9899404,0.38693154,1.52642608,-0.95533133,-1.30271447,-0.13943374,3.57505846,-2.80665541,0.9947741,2.53902125,-1.00440311,0.80130935,2.431458,-1.84809005,-0.10473025,3.06896567,0.32026678,-2.55813241,-0.08969881,-0.24961555,-1.59681392,0.02663411,-0.69193745,-0.17227639,1.1762166,0.46976417,0.16754454,0.46037412,-0.47647643,-1.52770996,0.07973516,0.23767757,0.00075486,0.63794857,-1.99276268,-1.2014308,1.03786731,0.08487844,0.99501455,2
1936,-3.33706999,2.28375292,3.48274612,1.39385557,11.58873081,1.62984943,4.60184526,-3.6246388,-5.21687651,-0.49255815,-0.7375536,1.9648546,-1.52161479,4.5486002,2.01889324,2.89608455,5.41736603,1.08011651,-1.36326671,-0.63562119,-4.43090391,3.3130281,6.33520842,-1.11286747,0.43782222,-1.53994596,1.30880821,-0.7437011,0.21321392,-0.90742773,-2.86665773,-0.05539751,-1.03071737,-2.35516691,0.65396601,-1.44734609,1.59651017,-0.3544423,-0.90282905,-1.08336842,-0.07086504,0.63828731,0.2456883,0.08693248,0.99636495,1.7506963,0.75429386,-0.10720968,1.79445219,1.01755655,-0.82178473,-0.27979034,-0.76355577,0.41123223,0.47501194,0.82148159,-1.20547533,0.00996178,-0.17953551,-0.44891399,-0.26442167,-0.43320677,0.61722457,0.45606229,10
698,-0.95524967,1.99690914,8.5205946,13.25097847,7.00044155,-0.64403903,6.04010582,-2.84733248,0.64496613,-0.97424364,0.11174417,0.06183124,2.2488184,0.00196691,-4.69355011,2.38091278,1.10211229,2.46847057,0.55040276,-4.79360867,0.20679805,1.24798942,2.76592231,-1.80561042,0.79241192,1.21397769,0.27895522,-0.56553245,-0.76515579,1.23159063,-1.43270457,2.27248859,2.12059116,0.30081213,-0.15147626,-2.42275119,1.69713807,0.75774109,0.18088686,0.428137,-2.73173666,-1.64238179,-1.22515619,-0.27175236,2.60118246,0.17787027,0.94009918,0.11257434,1.27117324,1.43190348,-0.17222588,-0.47533536,-0.58590603,0.6859498,0.79850656,0.25394917,0.20637202,-1.22636068,0.71674103,-1.21723771,-0.25976542,1.09263515,-0.43193758,-0.03773893,4
557,5.57277727,-0.28734255,8.76565456,1.57798874,-4.0844183,3.85381317,-4.8993845,3.26662135,2.12091732,-3.5449934,-5.56274986,-5.30368805,-1.61780643,-4.67582035,0.91355109,3.67212152,-1.47844875,-0.68258071,-2.04840755,2.5589385,1.52618051,-0.86095816,0.22173697,1.61693096,-2.40376854,2.37355876,3.17772198,0.64488792,2.58968973,2.34013557,-2.23599958,1.87054157,-0.49913257,-0.1726622,-1.5003767,-2.13840008,-1.58709192,-0.53579968,2.29213643,-1.25299406,-2.29466701,0.35396308,-1.61187828,-1.70822489,0.87577891,-0.51904178,-1.4509964,-0.82225585,-1.84937978,-0.77514982,-0.73264378,3.10399556,0.10846281,-0.62525773,-0.97125155,0.73541558,-0.21430421,-1.80828464,-0.45501286,-0.31062984,-0.08458628,0.05518064,0.66917372,0.35130695,3
446,1.36020696,13.38843441,4.25295401,-0.49399149,-2.14416695,-7.17153931,2.773875,0.14259839,3.53546476,2.18136263,-0.30005574,1.29648566,-5.11567068,2.21888304,2.87095809,0.02934027,-1.99032402,-0.17617899,-1.98398614,-0.21491408,-2.47884321,0.71946418,0.68842268,2.31332541,-3.11563683,1.95217168,1.25062799,-2.54141712,-2.03713131,1.14129984,-3.38821697,-0.97707069,-0.22582431,0.42259806,-0.53015053,-1.66365039,1.45338082,-0.69852418,-1.11175549,-0.83551168,-0.52030587,1.24968505,-0.24500699,-1.21937871,-0.52682483,0.07085145,-0.74863392,0.89811969,2.1692307,-0.83373618,0.57349306,1.3324244,1.16178751,1.01722383,-1.00900555,0.97720313,0.19823527,-0.40737414,-0.82143426,-1.40632463,1.63284683,-2.65550351,0.22523427,-0.53725821,3
1489,10.92819786,-8.4018631,3.47088003,7.8249588,0.19282055,4.83956337,0.44201684,-4.93712425,-0.60707092,-0.72059536,-1.68319893,-3.16333556,2.89765811,-0.89799148,1.12254143,-0.23919082,-2.64394307,1.93433499,-0.83769059,1.65411949,3.16872168,0.65457386,2.41431594,-0.90124798,0.9019717,0.55085385,-1.01930594,-1.66620922,-0.15011549,0.71746612,-3.44418812,1.49233675,-0.48625541,0.03474647,-0.59622264,-1.13070619,-0.29066229,3.55423927,0.45934796,1.20296538,-1.14615309,2.91176891,-0.72652853,-1.18630171,-1.21482098,0.4188534,-0.31339115,-0.42741323,-0.08078967,-0.92315727,1.56463027,-0.72731829,0.95637703,0.65297073,-0.34899217,-3.15586138,-1.90469933,1.22907734,0.11695206,-1.74963331,-0.60331374,-0.84699345,-0.46211287,-1.30256307,8
933,-6.14817953,5.21183872,-8.50758457,4.55308628,0.91701019,4.26387024,3.09707952,-2.97553229,9.66833115,-1.81960547,0.59859252,7.51574659,4.75754452,0.7891013,-3.37519169,2.97200227,-3.27698851,0.18094397,-1.74430621,0.77910638,-1.6732868,0.51966357,-3.8019824,4.40907192,0.6312052,-2.79508042,0.90625489,5.12109947,-3.57570219,1.6765784,1.60668981,-0.4823482,-0.06716432,-1.39804649,0.45026642,2.04788303,-1.43913209,1.27335954,-2.25384998,-0.01139268,-0.09908199,-2.69033051,-2.19675207,1.90446341,0.63614094,-0.37333822,-0.23090301,-0.03100848,0.95611614,2.25672722,0.45780095,0.18828946,-0.02650237,-0.02629828,-1.14956069,1.91153479,1.11339021,-1.82377315,0.41102284,-1.22685719,2.18012094,0.0436736,1.02310646,0.89745814,5
1554,14.71377563,-4.68080807,6.26154757,3.95514989,-3.69974136,3.70131707,-0.8629632,-0.53380573,-1.9036293,0.85773551,0.1948266,-3.09674144,4.24839878,-1.20330763,-0.77515507,1.6680975,-0.154598,1.60329819,1.49108708,0.51056004,1.90754628,2.04085398,2.87472653,-0.55599666,0.41159844,0.72381371,-1.02727818,0.29822552,0.17178917,-0.36653957,-2.60828924,1.13633418,0.8441233,-0.40792185,-0.94849491,-1.83111274,1.18065596,1.26000464,0.32676733,-0.27018714,-0.28952307,2.7922318,-1.64944172,1.32945776,-0.81695664,0.98357105,-0.36484015,0.69130027,0.45412403,0.85032654,0.59298259,0.10136616,1.61518621,0.18749154,-0.66800934,-1.14235353,0.49519086,0.44144344,0.87862831,-2.24027538,-0.81360191,-1.42013955,-1.06403589,-2.07272816,8
1331,-9.27202702,1.05721378,-3.23191237,-5.67621851,4.03919792,-1.59999132,-1.25159836,-3.31983829,-0.17364597,-6.40939617,-1.36542797,-0.48777032,-5.60701323,0.52425277,-4.44487381,0.96150196,3.47824645,-2.17422771,3.14555955,2.65442324,-6.10306931,-3.89287472,-0.06735292,0.28868628,1.25461352,0.5534547,-0.56670618,-0.09107816,-0.21138191,-1.18760085,-0.52638853,-0.13838339,0.16987686,-0.79839295,-2.16750908,2.49624157,-0.86384189,-0.50041085,0.85355538,0.30240011,-0.1613453,-0.54854405,0.01824412,0.92934692,0.01242208,-1.78434539,1.16243327,0.16288805,-0.35630652,0.21965557,0.09678845,-1.8100667,0.62133956,-0.32771897,0.59101301,1.94096327,-1.85065126,-0.27350491,-1.11527574,-2.30403113,0.25511402,-0.0862276,1.01313233,0.44320884,7
1347,-11.13042355,5.38946915,-4.928298,-2.08565307,-0.77675009,-1.65813828,-0.97930717,-6.19140053,-0.17316723,-8.59877396,-0.63736081,-1.91725659,-2.31438971,-0.65049541,-1.68715239,5.20874119,1.03668094,2.55216622,0.35666502,0.58213305,-2.99972057,-1.61950707,2.78176975,0.39514709,0.8001343,-1.05960512,-0.08772966,0.45139015,3.31563997,0.33586192,-0.76532042,0.78969121,1.00442398,1.14592183,0.90193856,0.18888918,-0.49646711,-1.82892799,-0.23502719,-0.82018232,0.21295822,-0.8811838,-0.96145809,1.81016111,0.18184972,0.55912375,1.08532417,-1.90339494,-2.36975193,1.72976649,-1.14300644,2.2834115,0.95133281,-0.49952686,-0.52394158,2.04633784,1.89481711,-1.37502325,-1.19212782,0.72369874,1.25606203,-0.26937321,-1.61874986,-0.46768513,7
1209,-13.56268692,1.47521877,1.87359214,-7.46749067,5.02030611,5.50349712,4.37538671,-4.91735458,-1.15714645,-7.9846468,6.4040699,2.84724784,-5.66314983,1.47734773,0.21177316,2.00368071,-1.36496091,-2.27219057,-0.33199894,1.40497661,-1.63157225,-0.11434555,-2.25625515,0.31013966,-0.88700527,0.85138899,2.4533658,-3.39121294,2.971138,0.48865986,-0.67857683,-0.99144089,3.00354958,1.31360292,-0.37859142,-1.88276827,0.87028766,-0.54787678,-0.14487803,-0.06902173,0.96190715,2.87795401,-0.84145916,0.33830303,-0.03215897,2.43073273,-0.41156119,0.35448861,0.12636939,-0.28617796,0.91329896,-0.64605546,0.48983264,-0.77666664,0.44489172,-0.52205324,0.48552656,-1.62768114,-0.06601042,-1.36861038,-0.62205875,0.41805863,1.36442697,-1.77356184,7
1410,13.98652363,4.34697247,5.67101574,1.02636647,0.87346685,-0.15117216,0.88856125,-2.86585808,-1.32282114,3.14755177,-2.3576231,-1.99027133,1.01502419,-0.04772498,1.3859992,1.3975966,-2.25302839,-0.89362723,1.76780915,-2.19651937,5.00224543,0.23589307,1.89636552,0.29327989,1.84082496,0.64814252,-0.15803799,-1.6086446,0.49353671,0.96610749,-2.33922625,-1.02591574,0.86766833,-0.86695439,-1.98668623,-1.90291989,-0.28718114,0.83696675,-1.60017002,0.4207412,-1.19146287,2.43952847,-0.18709438,-1.60825634,-0.78982282,-0.24347356,-0.04932709,0.78566813,2.13109684,-0.83066761,1.76549423,-0.18887389,0.83481491,-0.56008124,0.30688852,0.14211446,2.58592439,0.02829953,0.48801535,-0.73743331,0.37209088,0.68199736,1.72951758,-1.44884157,8
219,-2.67303324,5.03990078,-6.29650402,-4.79918337,3.91065788,-1.49121714,6.73059273,-2.76076651,1.93995118,-7.92751837,0.84739888,6.3075037,-1.01878953,0.21220183,3.62016797,-5.64717722,3.37095714,6.90707493,-2.07574177,-3.94101977,1.77765727,-0.47030562,-1.91734374,0.23884678,-1.24201131,-6.32527637,-1.83942223,-1.01834798,-0.64292574,2.8665638,0.58252203,0.41561103,-0.48690045,-2.09204197,-1.82431412,2.5116179,1.71804166,1.63309813,0.11175859,-1.05549896,-1.97579193,0.44442755,-2.41134334,-0.94422412,-2.07761335,0.50821584,1.89892519,0.34906054,2.32964873,-0.12788457,0.17773056,-0.41029644,-0.55685711,-1.56475925,0.75332862,-0.80885947,1.62136447,2.21972895,-1.54374671,-1.12272215,-0.00970139,-0.50734925,1.06522429,-0.15574172,2
680,-7.9671874,0.97725582,5.81711578,12.64530087,-0.53847563,-1.51478291,-2.96635532,-1.96405435,1.02675533,1.03862894,1.36749542,4.57841682,3.07930565,-4.67487574,-1.84510899,2.71923947,-1.58412611,-0.77056122,-2.5103302,2.94292593,-0.84177148,0.67060769,2.15540075,1.24130535,-3.35670137,0.43925652,2.51289606,4.41945887,2.88327622,-2.8890419,-2.02746296,3.57402992,0.03901615,0.66308928,3.584692,-0.40988889,2.42421126,-1.8374567,0.58188128,0.27777642,0.32012665,0.21408978,-0.03534693,-0.4119485,1.7250067,0.52938247,-0.90773916,-0.347193,1.10442972,1.78249991,-0.31293648,0.66314048,1.31239343,0.17903948,-1.83669138,0.14827371,-0.99411464,0.07566178,-1.06206787,-0.26113874,0.08790879,0.10128111,0.72973073,-1.03145885,4
1673,-8.93672943,-1.12555122,9.25950527,0.97284257,9.96496105,0.77714622,-4.96106911,-1.73253942,-0.68292618,-3.67779732,2.06171465,-0.60939527,3.21104908,-1.51359963,-1.9944849,1.15028214,0.39373136,-3.23647189,-0.79699731,1.36797547,-3.51376677,0.76430655,0.3067053,2.11961699,1.30908799,-2.05982137,2.99626589,-2.90351152,0.40266919,-1.95128477,-0.93042314,-3.10831451,0.33931464,-0.13733238,1.75844765,-1.57481062,0.32505035,2.40056419,-2.21790886,0.9962709,0.9721458,-0.31498861,0.76000762,-0.64132959,3.16773796,0.48978835,0.6611349,0.64075887,2.80715442,1.41278255,-0.07536764,0.59335804,0.16373301,0.2269789,1.21516204,-1.8869766,-0.80194211,-0.10747519,0.04374939,-0.36387479,0.02399178,0.10966533,0.83501339,0.52202362,9
785,-0.94370389,-0.16992116,1.77568793,8.48075199,2.61020708,-4.79942894,-5.27543163,-5.66696072,-1.60401678,2.78170586,9.00524521,5.07823563,1.639467,2.96245241,-2.63176155,2.86618686,1.80644584,0.85791707,-0.83210695,5.3149066,1.98863161,1.15466464,-0.12578216,-4.08276367,-2.067276,-1.14140654,0.73647487,3.8375597,1.72728801,-1.42036605,-1.5735811,1.64960909,-1.62006354,0.47781488,1.81666958,-1.213153,2.20507073,-2.67259741,0.14864504,-0.84199399,-0.44837523,0.70278418,-0.89602286,0.7238816,0.15274489,-1.43617606,-0.13936056,0.37545609,1.00963688,-1.2331717,-0.14278673,-0.69166028,0.20532656,-1.13824081,-0.11962289,-0.0344376,0.31663442,0.07502282,-0.46387672,0.56095958,-0.65232885,0.74791425,-0.68610799,-1.11983466,4
753,6.20966768,-0.71792793,1.084705,9.48046494,1.24805987,-2.94149661,-0.90156937,-4.55134487,-1.98071814,4.59953117,6.44499397,4.48724508,7.23951101,3.55483341,-3.10306883,1.24949908,2.77327418,-0.36676812,-0.76479661,2.67060709,-0.75916904,-1.54822564,0.41297182,0.40547752,-1.79060256,-1.13012016,0.50363511,1.89373708,1.19415545,-1.35282469,-1.33652389,0.09914136,-0.81857872,-0.55176932,-1.31104279,-2.55014062,2.77079511,-2.54428768,-2.3177104,-0.95275557,0.3672365,1.92124569,-1.69207609,-0.64746642,0.93462437,-0.87171906,-0.05504195,-0.4600637,0.28138587,-1.16225529,0.19634706,-0.29443926,0.26923776,-0.25299621,-0.35503405,-0.37564242,0.01959515,0.26238912,1.26977324,0.59929144,-0.36314714,-0.01929885,-0.31590408,-0.09283071,4
582,3.05369329,4.8462801,13.1156683,-2.11126995,1.1283282,1.6790452,-1.23169756,3.50063515,1.26343536,-0.94202697,-6.69374657,-2.56727672,-2.51780891,-0.13080755,5.15456915,-2.22864914,-1.40407705,-1.35365844,-2.44507384,-1.27945185,-0.75754631,-0.00011587,0.72844422,-1.5109508,-0.36731938,1.10339928,4.10254288,-5.25950956,0.16439295,0.75193059,-2.26552534,-1.34265244,0.60033089,-0.98316187,1.31663489,-2.77767682,2.55794883,-0.68811399,0.61770737,-1.65503263,0.24787772,1.43961573,-0.34852487,-1.29541647,0.45788604,0.32739502,-1.691957,-0.08729792,2.08196235,0.66358137,-0.22331922,-1.20042205,-0.26074147,1.07115567,-0.04356343,1.23928177,0.01141691,-1.19744301,0.53719014,-0.59668714,-0.14578317,0.03297102,-0.39516464,-2.38415337,3
